LECROYWaveRunnerž,40477,Waveform
Segments,1,SegmentSize,1000
Segment,TrigTime,TimeSinceSegment1
#1,07-Jun-2021 10:52:12,0                 
Time,Ampl
0.00368,0.01856096
0.00369,0.018445115
0.0037,0.017968863
0.00371,0.01802035
0.00372,0.017685686
0.00373,0.017042103
0.00374,0.017312408
0.00375,0.016617337
0.00376,0.016849027
0.00377,0.016282674
0.00378,0.016617337
0.00379,0.015973753
0.0038,0.016063855
0.00381,0.015909395
0.00382,0.015278683
0.00383,0.014995506
0.00384,0.015201453
0.00385,0.014609356
0.00386,0.014802431
0.00387,0.014802431
0.00388,0.013849927
0.00389,0.014287564
0.0039,0.013914285
0.00391,0.013360803
0.00392,0.01341229
0.00393,0.012691476
0.00394,0.012974653
0.00395,0.012704348
0.00396,0.013000396
0.00397,0.012318197
0.00398,0.011983534
0.00399,0.012099379
0.004,0.012086507
0.00401,0.012099379
0.00402,0.011751844
0.00403,0.011983534
0.00404,0.01126272
0.00405,0.011275591
0.00406,0.011198361
0.00407,0.010966671
0.00408,0.010632008
0.00409,0.010760724
0.0041,0.010181499
0.00411,0.010426061
0.00412,0.0099884238
0.00413,0.0099498088
0.00414,0.010232986
0.00415,0.0096151452
0.00416,0.0092933533
0.00417,0.0093705834
0.00418,0.0090359198
0.00419,0.008945818
0.0042,0.0091903799
0.00421,0.008945818
0.00422,0.0089200747
0.00423,0.0087269995
0.00424,0.0087141279
0.00425,0.0087269995
0.00426,0.0084438227
0.00427,0.008508181
0.00428,0.008070544
0.00429,0.0080448007
0.0043,0.0078903406
0.00431,0.0079546989
0.00432,0.0079032122
0.00433,0.0078259822
0.00434,0.0077358804
0.00435,0.0076200354
0.00436,0.0074784469
0.00437,0.0070279382
0.00438,0.0071437833
0.00439,0.0068219914
0.0044,0.0068606064
0.00441,0.00711804
0.00442,0.0067061463
0.00443,0.0066932746
0.00444,0.0066417879
0.00445,0.0064358411
0.00446,0.0064744561
0.00447,0.0062942527
0.00448,0.0060110758
0.00449,0.0061269209
0.0045,0.0061011775
0.00451,0.0060110758
0.00452,0.0059982041
0.00453,0.0056377972
0.00454,0.0055991821
0.00455,0.0054704654
0.00456,0.005882359
0.00457,0.0055605671
0.00458,0.005367492
0.00459,0.0050199567
0.0046,0.0051358018
0.00461,0.0050199567
0.00462,0.0049555983
0.00463,0.0046724214
0.00464,0.0051358018
0.00465,0.0048140099
0.00466,0.0048783683
0.00467,0.0048783683
0.00468,0.0047110365
0.00469,0.0045565763
0.0047,0.0045823197
0.00471,0.004569448
0.00472,0.0041832977
0.00473,0.0044536029
0.00474,0.0040674526
0.00475,0.0044021162
0.00476,0.0041832977
0.00477,0.004170426
0.00478,0.0041060677
0.00479,0.0039258642
0.0048,0.0037842758
0.00481,0.0036426873
0.00482,0.0038357625
0.00483,0.0036040723
0.00484,0.003655559
0.00485,0.0037585324
0.00486,0.0034753555
0.00487,0.0036813023
0.00488,0.0034624838
0.00489,0.003694174
0.0049,0.0035397139
0.00491,0.0034238688
0.00492,0.003295152
0.00493,0.0034109971
0.00494,0.0032822804
0.00495,0.0029476168
0.00496,0.0030505902
0.00497,0.0031921786
0.00498,0.0029862318
0.00499,0.0029476168
0.005,0.0028703867
0.00501,0.0030248468
0.00502,0.0028189
0.00503,0.0028446434
0.00504,0.0029090017
0.00505,0.0027931567
0.00506,0.0027287983
0.00507,0.0026773116
0.00508,0.0027287983
0.00509,0.0027545416
0.0051,0.0024584931
0.00511,0.0025614665
0.00512,0.0025485948
0.00513,0.0025872098
0.00514,0.0025872098
0.00515,0.002342648
0.00516,0.002304033
0.00517,0.0022654179
0.00518,0.0022010595
0.00519,0.0023169046
0.0052,0.0021624445
0.00521,0.0022139312
0.00522,0.0023555197
0.00523,0.0022268029
0.00524,0.0019951127
0.00525,0.0021238295
0.00526,0.0021753162
0.00527,0.0021753162
0.00528,0.0020723428
0.00529,0.0019693694
0.0053,0.0021238295
